odor,concentration,concentration_type,solvent,age in h/d AEL,starvation,assay,response,reference,fig.table,remarks
Geranyl acetate,0.1,V/V,water,3.5d,0,,-0.027231467,Vogt2021,S2B,
Geranyl acetate,0.01,V/V,water,3.5d,0,,-0.154311649,Vogt2021,S2B,
Geranyl acetate,0.001,V/V,water,3.5d,0,,-0.088956127,Vogt2021,S2B,
Geranyl acetate,0.0001,V/V,water,3.5d,0,,-0.266868381,Vogt2021,S2B,
Geranyl acetate,0.00001,V/V,water,3.5d,0,,-0.160363086,Vogt2021,S2B,
Geranyl acetate,0.000001,V/V,water,3.5d,0,,0.067170953,Vogt2021,S2B,
geranyl acetate,0.01,V/V,paraffin,third instar,NA,,-0.40041,Kreher2008,Fig2B,
heptanoic acid,NA,Dry,NA,first instar,1,,0.3658,Boyle2005,Table2,
heptanol,NA,Dry,NA,first instar,1,,0.326,Boyle2005,Table2,
heptyl acetate,NA,Dry,NA,first instar,1,,-0.2051,Boyle2005,Table1,
hexanol,NA,Dry,NA,first instar,1,,0.4121,Boyle2005,Table2,
hexyl acetate,NA,Dry,NA,first instar,1,,0.0476,Boyle2005,Table1,
Hexyl acetate,0.0001,V/V,water,3.5d,0,,0.080133556,Vogt2021,S1A,
Isoamyl acetate,0.01,V/V,paraffin,third instar,NA,,0.564826,Kreher2008,Fig2B,
Isopentyl acetate,0.0001,V/V,water,3.5d,0,,0.298831386,Vogt2021,S1A,
Isopropyl butyrate,0.0001,V/V,water,3.5d,0,,0.252086811,Vogt2021,S1A,
Linalool,0.0001,V/V,water,3.5d,0,,-0.035058431,Vogt2021,S1A,
Menthol,0.0001,V/V,water,3.5d,0,,-0.20033389,Vogt2021,S1A,
Menthol,0.001,V/V,water,3.5d,0,,-0.200735294,Vogt2021,S1B,
Menthol,0.001,V/V,water,3.5d,6,,0.086335784,Vogt2021,S1B,
methyl acetate,NA,Dry,NA,first instar,1,,0.5027,Boyle2005,Table1,
Methyl butyrate,0.0001,V/V,water,3.5d,0,,0.510851419,Vogt2021,S1A,
Methyl eugenol,0.01,V/V,paraffin,third instar,NA,,0.234356,Kreher2008,Fig2B,
Methyl hexanoate,0.0001,V/V,water,3.5d,0,,0.010016694,Vogt2021,S1A,
Methyl isovalerate,0.0001,V/V,water,3.5d,0,,0.464106845,Vogt2021,S1A,
Methyl salicylate,0.0001,V/V,water,3.5d,0,,0.085141903,Vogt2021,S1A,
Methyl salicylate,0.01,V/V,paraffin,third instar,NA,,-0.21609,Kreher2008,Fig2B,
nonanoic acid,NA,Dry,NA,first instar,1,,0.1201,Boyle2005,Table2,
nonanol,NA,Dry,NA,first instar,1,,-0.4851,Boyle2005,Table2,
octanoic acid,NA,Dry,NA,first instar,1,,0.3261,Boyle2005,Table2,
octanol,NA,Dry,NA,first instar,1,,0.0314,Boyle2005,Table2,
octyl acetate,0.01,V/V,paraffin,third instar,NA,,0.115474,Kreher2008,Fig2B,
paraffin oil,0.01,V/V,paraffin,third instar,NA,,-0.01977,Kreher2008,Fig2B,
pentanol,NA,Dry,NA,first instar,1,,0.3861,Boyle2005,Table2,
pentyl acetate,NA,Dry,NA,first instar,1,,0.5151,Boyle2005,Table1,
Pentyl acetate,0.01,V/V,paraffin,third instar,NA,,0.53865,Kreher2008,Fig2B,
Propionic acid,0.01,V/V,paraffin,third instar,NA,,0.475392,Kreher2008,Fig2B,
propyl acetate,NA,Dry,NA,first instar,1,,0.2261,Boyle2005,Table1,
Propyl acetate,0.01,V/V,paraffin,third instar,NA,,0.734969,Kreher2008,Fig2B,
Butanol,NA,Dry,NA,Third instar,NA,Aceves-Pi ? na and Quinn (1979),0.690683,Heimbeck1999,Fig2,
Ethyl acetate,NA,Dry,NA,Third instar,NA,Aceves-Pi ? na and Quinn (1979),0.662416,Heimbeck1999,Fig2,
Propionic acid,NA,Dry,NA,Third instar,NA,Aceves-Pi ? na and Quinn (1979),0.746324,Heimbeck1999,Fig2,
n-octyl acetate,NA,Dry,NA,Third instar,NA,Aceves-Pi ? na and Quinn (1979),-0.33547,Heimbeck1999,Fig2,
Ethyl acetate,0.0001,V/V,paraffin oil,96h,0,Monte1989,0.46875,Slankster2020,Fig1B,Concentration based on Mathew2013
Ethyl acetate,0.0001,V/V,paraffin oil,96h,2,Monte1989,0.5425,Slankster2020,Fig1B,Concentration based on Mathew2013
"2,5-dimethylpyrazine",0.0001,V/V,paraffin oil,96h,0,Monte1989,0.1375,Slankster2020,Fig1B,Concentration based on Mathew2013
"2,5-dimethylpyrazine",0.0001,V/V,paraffin oil,96h,2,Monte1989,0.16,Slankster2020,Fig1B,Concentration based on Mathew2013
Acetal,0.0001,V/V,paraffin oil,96h,0,Monte1989,0.3325,Slankster2020,Fig1B,Concentration based on Mathew2013
Acetal,0.0001,V/V,paraffin oil,96h,2,Monte1989,0.47125,Slankster2020,Fig1B,Concentration based on Mathew2013
Pentyl acetate,0.0001,V/V,paraffin oil,96h,0,Monte1989,0.4875,Slankster2020,Fig1B,Concentration based on Mathew2013
Pentyl acetate,0.0001,V/V,paraffin oil,96h,2,Monte1989,0.565,Slankster2020,Fig1B,Concentration based on Mathew2013
4-hexen-3-one,0.0001,V/V,paraffin oil,96h,0,Monte1989,0.38375,Slankster2020,Fig1B,Concentration based on Mathew2013
4-hexen-3-one,0.0001,V/V,paraffin oil,96h,2,Monte1989,0.33375,Slankster2020,Fig1B,Concentration based on Mathew2013
"4,5-dimethylthiazole",0.0001,V/V,paraffin oil,96h,0,Monte1989,0.21625,Slankster2020,Fig1B,Concentration based on Mathew2013
"4,5-dimethylthiazole",0.0001,V/V,paraffin oil,96h,2,Monte1989,0.35625,Slankster2020,Fig1B,Concentration based on Mathew2013
Anisole,0.0001,V/V,paraffin oil,96h,0,Monte1989,0.43875,Slankster2020,Fig1B,Concentration based on Mathew2013
Anisole,0.0001,V/V,paraffin oil,96h,2,Monte1989,0.48875,Slankster2020,Fig1B,Concentration based on Mathew2013
3-octanol,NA,Dry,NA,third instar,NA,plate choice assay,0.435115,Saumweber2011,Fig2A,
1-octanol,NA,Dry,NA,third instar,NA,plate choice assay,0.437296,Saumweber2011,Fig2A,"PI is measured based on a specific side. Hence, -ve PI value reported represents attraction. Modified it to fit our metric"
n-amyl acetate,NA,Dry,NA,third instar,NA,plate choice assay,0.635104,Saumweber2011,Fig3A,
3-octanol,NA,Dry,NA,third instar,NA,plate choice assay,0.237875,Saumweber2011,Fig3A,"PI is measured based on a specific side. Hence, -ve PI value reported represents attraction. Modified it to fit our metric"
n-amyl acetate,NA,Dry,NA,third instar,NA,plate choice assay,0.766234,Saumweber2011,Fig4A,
linalool,NA,Dry,NA,third instar,NA,plate choice assay,0.050767,Saumweber2011,Fig4A,"PI is measured based on a specific side. Hence, -ve PI value reported represents attraction. Modified it to fit our metric"
n-amyl acetate,NA,Dry,NA,third instar,NA,plate choice assay,0.602664,Saumweber2011,Fig5A,
1-octanol,NA,Dry,NA,third instar,NA,plate choice assay,0.402886,Saumweber2011,Fig5A,"PI is measured based on a specific side. Hence, -ve PI value reported represents attraction. Modified it to fit our metric"
