,odor,CID,IUPAC,concentration,concentration_type,solvent,species,gender,age,starvation,assay,response,reference,remarks,stage,age in h/d AEL,fig.table,log_conc,starvation_bool
146,ethyl acetate,8857.0,ethyl acetate,0.01,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.2,Stensmyr2003,,adult,,,-2.0,False
147,ethyl acetate,8857.0,ethyl acetate,0.1,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.1,Stensmyr2003,,adult,,,-1.0,False
148,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.08,Kutsukake2000,,adult,,,-3.0,True
149,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.48,Kutsukake2000,,adult,,,-2.0,True
150,ethyl acetate,8857.0,ethyl acetate,0.05,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.56,Kutsukake2000,,adult,,,-1.0,True
151,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.56,Kutsukake2000,,adult,,,-1.0,True
152,ethyl acetate,8857.0,ethyl acetate,0.5,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.83,Kutsukake2000,,adult,,,-0.0,True
153,ethyl acetate,8857.0,ethyl acetate,1.0,V/V,Propylene glycol,DMel,both,3.0,1.5,T-maze,-0.61,Kutsukake2000,,adult,,,0.0,True
154,ethyl acetate,8857.0,ethyl acetate,0.05,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.47,Freeman1999,,adult,,,-1.0,False
155,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.61,Störtkuhl1999,,adult,,,-2.0,False
156,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,,DMel,,5.0,24.0,T-maze,-0.4,Silbering2011,Solvent: water or paraffin oil,adult,,,-1.0,True
157,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,,6.0,0.0,T-maze,-0.23,Devaud2001,Paraffin oil pre-exposed data added,adult,,,-2.0,False
158,ethyl acetate,8857.0,ethyl acetate,1e-05,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,0.12,Charro1994,,adult,,,-5.0,True
159,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,0.2,Charro1994,,adult,,,-4.0,True
160,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,0.18,Charro1994,,adult,,,-3.0,True
161,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,-0.34,Charro1994,,adult,,,-2.0,True
162,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,-0.96,Charro1994,,adult,,,-1.0,True
163,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,0.34,Martin2001,,adult,,,-3.0,True
164,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,F,3.5,24.0,Y-maze,-0.3,Martin2001,,adult,,,-2.0,True
165,ethyl acetate,8857.0,ethyl acetate,1e-05,V/V,Paraffin oil,DMel,,,0.0,T-maze,0.06,Stortkuhl2005,,adult,,,-5.0,False
166,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,Paraffin oil,DMel,,,0.0,T-maze,0.05,Stortkuhl2005,,adult,,,-4.0,False
167,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.04,Stortkuhl2005,,adult,,,-3.0,False
168,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.1,Stortkuhl2005,,adult,,,-2.0,False
169,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.53,Stortkuhl2005,,adult,,,-1.0,False
170,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,F,,24.0,Y-maze,-0.06,Alcorta1991,Canton-S fly response added,adult,,,-2.0,True
171,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,Paraffin oil,DMel,F,,24.0,Y-maze,-0.3,Alcorta1991,Canton-S fly response added,adult,,,-1.0,True
172,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,M,,24.0,Y-maze,0.0,Alcorta1991,Canton-S fly response added,adult,,,-2.0,True
173,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,Paraffin oil,DMel,M,,24.0,Y-maze,-0.45,Alcorta1991,Canton-S fly response added,adult,,,-1.0,True
174,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,Paraffin oil,DMel,,4.0,0.0,T-maze,0.56,Acebes2001,C-S fly response added,adult,,,-4.0,False
175,ethyl acetate,8857.0,ethyl acetate,1e-09,V/V,,DMel,,,0.0,Y-maze,0.04,Rodrigues1978,,adult,,,-9.0,False
176,ethyl acetate,8857.0,ethyl acetate,1e-08,V/V,,DMel,,,0.0,Y-maze,0.13,Rodrigues1978,,adult,,,-8.0,False
177,ethyl acetate,8857.0,ethyl acetate,1e-07,V/V,,DMel,,,0.0,Y-maze,0.2,Rodrigues1978,,adult,,,-7.0,False
178,ethyl acetate,8857.0,ethyl acetate,1e-06,V/V,,DMel,,,0.0,Y-maze,0.27,Rodrigues1978,,adult,,,-6.0,False
179,ethyl acetate,8857.0,ethyl acetate,1e-05,V/V,,DMel,,,0.0,Y-maze,0.62,Rodrigues1978,,adult,,,-5.0,False
180,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,,DMel,,,0.0,Y-maze,0.8,Rodrigues1978,,adult,,,-4.0,False
181,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,,DMel,,,0.0,Y-maze,0.7,Rodrigues1978,,adult,,,-3.0,False
182,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,,DMel,,,0.0,Y-maze,0.43,Rodrigues1978,,adult,,,-2.0,False
183,ethyl acetate,8857.0,ethyl acetate,0.1,V/V,,DMel,,,0.0,Y-maze,-0.36,Rodrigues1978,,adult,,,-1.0,False
184,ethyl acetate,8857.0,ethyl acetate,1.0,V/V,,DMel,,,0.0,Y-maze,-0.7,Rodrigues1978,,adult,,,0.0,False
185,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,water,DMel,,5.0,36.0,Y-maze,0.52,Dubin1995,,adult,,,-3.0,True
186,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.16,Knaden2012,,adult,,,-2.0,True
197,nonanoic acid,8158.0,nonanoic acid,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,0.04,MacWilliam2018,,adult,,,-2.0,True
198,nonanoic acid,8158.0,nonanoic acid,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.0,Knaden2012,,adult,,,-2.0,True
199,Hexanol,8103.0,hexan-1-ol,1e-08,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.02,Stensmyr2003,,adult,,,-8.0,False
200,Hexanol,8103.0,hexan-1-ol,1e-07,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.05,Stensmyr2003,,adult,,,-7.0,False
201,Hexanol,8103.0,hexan-1-ol,1e-06,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.25,Stensmyr2003,,adult,,,-6.0,False
202,Hexanol,8103.0,hexan-1-ol,1e-05,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.37,Stensmyr2003,,adult,,,-5.0,False
203,Hexanol,8103.0,hexan-1-ol,0.0001,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.46,Stensmyr2003,,adult,,,-4.0,False
204,Hexanol,8103.0,hexan-1-ol,0.001,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.53,Stensmyr2003,,adult,,,-3.0,False
205,Hexanol,8103.0,hexan-1-ol,0.1,V/V,water,DMel,,1.5,5.5,T-maze,-0.698,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
206,Hexanol,8103.0,hexan-1-ol,0.25,V/V,water,DMel,,1.5,5.5,T-maze,-0.718,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
207,Hexanol,8103.0,hexan-1-ol,0.35,V/V,water,DMel,,1.5,5.5,T-maze,-0.834,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-0.0,True
208,Hexanol,8103.0,hexan-1-ol,0.5,V/V,water,DMel,,1.5,5.5,T-maze,-0.724,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-0.0,True
209,Hexanol,8103.0,hexan-1-ol,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.2,MacWilliam2018,,adult,,,-2.0,True
210,Hexanol,8103.0,hexan-1-ol,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,0.13,MacWilliam2018,,adult,,,-2.0,True
211,Hexanol,8103.0,hexan-1-ol,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.17,Knaden2012,,adult,,,-2.0,True
212,heptanoic acid,8094.0,heptanoic acid,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.11,Knaden2012,,adult,,,-2.0,True
223,propyl acetate,7997.0,propyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.23,Knaden2012,,adult,,,-2.0,True
234,methyl hexanoate,7824.0,methyl hexanoate,1e-08,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.08,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-8.0,True
235,methyl hexanoate,7824.0,methyl hexanoate,1e-07,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.51,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-7.0,True
236,methyl hexanoate,7824.0,methyl hexanoate,1e-06,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.48,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-6.0,True
237,methyl hexanoate,7824.0,methyl hexanoate,1e-05,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.67,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-5.0,True
238,methyl hexanoate,7824.0,methyl hexanoate,0.0001,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.46,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-4.0,True
239,methyl hexanoate,7824.0,methyl hexanoate,0.001,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.5,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-3.0,True
240,methyl hexanoate,7824.0,methyl hexanoate,0.01,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.22,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-2.0,True
241,methyl hexanoate,7824.0,methyl hexanoate,0.1,V/V,water with 0.2% Triton-X100,DMel,both,,8.0,Dual-port,0.06,Dekker2006,"Attraction index (T 2 C)/(T + C + NR - D), in  which T is the number of flies in the treatment, C number in the control, NR number remaining in the arena, and D the number of dead flies in the arena) reported",adult,,,-1.0,True
242,methyl hexanoate,7824.0,methyl hexanoate,1e-06,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,0.12,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-6.0,True
243,methyl hexanoate,7824.0,methyl hexanoate,1e-05,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,0.32,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-5.0,True
244,methyl hexanoate,7824.0,methyl hexanoate,0.0001,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,0.37,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-4.0,True
245,methyl hexanoate,7824.0,methyl hexanoate,0.001,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,0.37,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-3.0,True
246,methyl hexanoate,7824.0,methyl hexanoate,0.01,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,-0.01,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-2.0,True
247,methyl hexanoate,7824.0,methyl hexanoate,0.1,V/V,water with 1.0% Triton X,DMel,,,8.0,Dual-port,-0.46,Ignell2009,"ResponseIndex = (T - C)/(T + C +  NR - D), where T is the number of flies in test vial, C number in the control vial, NR number of flies remaining in arena, and D number of dead flies in the arena",adult,,,-1.0,True
248,methyl hexanoate,7824.0,methyl hexanoate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.24,Knaden2012,,adult,,,-2.0,True
282,methyl acetate,6584.0,methyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.23,Knaden2012,,adult,,,-2.0,True
284,Linalool,6549.0,"3,7-dimethylocta-1,6-dien-3-ol",0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.19,MacWilliam2018,,adult,,,-2.0,True
285,Linalool,6549.0,"3,7-dimethylocta-1,6-dien-3-ol",0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.2,MacWilliam2018,,adult,,,-2.0,True
286,Linalool,6549.0,"3,7-dimethylocta-1,6-dien-3-ol",0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,-0.43,Knaden2012,,adult,,,-2.0,True
289,1-pentanol,6276.0,pentan-1-ol,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.11,MacWilliam2018,,adult,,,-2.0,True
290,1-pentanol,6276.0,pentan-1-ol,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.28,Knaden2012,,adult,,,-2.0,True
296,methyl salicylate,4133.0,methyl 2-hydroxybenzoate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.07,Knaden2012,,adult,,,-2.0,True
340,Octanol,957.0,octan-1-ol,0.0001,V/V,,DMel,,4.5,0.0,T-maze,-0.81,Suh2004,,adult,,,-4.0,False
341,Octanol,957.0,octan-1-ol,0.05,V/V,mineral oil,DMel,,9.5,0.0,T-maze,-0.73,Ai2010,,adult,,,-1.0,False
342,Octanol,957.0,octan-1-ol,0.015,V/V,water,DMel,,1.5,5.5,T-maze,-0.77,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-2.0,True
343,Octanol,957.0,octan-1-ol,0.025,V/V,water,DMel,,1.5,5.5,T-maze,-0.7,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-2.0,True
344,Octanol,957.0,octan-1-ol,0.035,V/V,water,DMel,,1.5,5.5,T-maze,-0.6,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
345,Octanol,957.0,octan-1-ol,0.05,V/V,water,DMel,,1.5,5.5,T-maze,-0.57,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
346,Octanol,957.0,octan-1-ol,0.1,V/V,water,DMel,,1.5,5.5,T-maze,-0.81,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
347,Octanol,957.0,octan-1-ol,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,-0.27,Knaden2012,,adult,,,-2.0,True
364,ethanol,702.0,ethanol,0.0025,V/V,water,DMel,F,1.0,24.0,Y-maze,0.0,Fuyama1976,,adult,,,-3.0,True
365,ethanol,702.0,ethanol,0.005,V/V,water,DMel,F,1.0,24.0,Y-maze,0.18,Fuyama1976,,adult,,,-2.0,True
366,ethanol,702.0,ethanol,0.01,V/V,water,DMel,F,1.0,24.0,Y-maze,0.2,Fuyama1976,,adult,,,-2.0,True
367,ethanol,702.0,ethanol,0.02,V/V,water,DMel,F,1.0,24.0,Y-maze,0.4,Fuyama1976,,adult,,,-2.0,True
368,ethanol,702.0,ethanol,0.04,V/V,water,DMel,F,1.0,24.0,Y-maze,0.72,Fuyama1976,,adult,,,-1.0,True
369,ethanol,702.0,ethanol,0.08,V/V,water,DMel,F,1.0,24.0,Y-maze,0.71,Fuyama1976,,adult,,,-1.0,True
370,ethanol,702.0,ethanol,0.16,V/V,water,DMel,F,1.0,24.0,Y-maze,0.79,Fuyama1976,,adult,,,-1.0,True
371,ethanol,702.0,ethanol,0.32,V/V,water,DMel,F,1.0,24.0,Y-maze,-0.08,Fuyama1976,,adult,,,-0.0,True
372,ethanol,702.0,ethanol,0.64,V/V,water,DMel,F,1.0,24.0,Y-maze,-0.48,Fuyama1976,,adult,,,-0.0,True
373,ethanol,702.0,ethanol,0.0025,V/V,water,DMel,M,1.0,24.0,Y-maze,-0.1,Fuyama1976,,adult,,,-3.0,True
374,ethanol,702.0,ethanol,0.005,V/V,water,DMel,M,1.0,24.0,Y-maze,0.0,Fuyama1976,,adult,,,-2.0,True
375,ethanol,702.0,ethanol,0.01,V/V,water,DMel,M,1.0,24.0,Y-maze,0.27,Fuyama1976,,adult,,,-2.0,True
376,ethanol,702.0,ethanol,0.02,V/V,water,DMel,M,1.0,24.0,Y-maze,0.37,Fuyama1976,,adult,,,-2.0,True
377,ethanol,702.0,ethanol,0.04,V/V,water,DMel,M,1.0,24.0,Y-maze,0.47,Fuyama1976,,adult,,,-1.0,True
378,ethanol,702.0,ethanol,0.08,V/V,water,DMel,M,1.0,24.0,Y-maze,0.72,Fuyama1976,,adult,,,-1.0,True
379,ethanol,702.0,ethanol,0.16,V/V,water,DMel,M,1.0,24.0,Y-maze,0.67,Fuyama1976,,adult,,,-1.0,True
380,ethanol,702.0,ethanol,0.32,V/V,water,DMel,M,1.0,24.0,Y-maze,0.28,Fuyama1976,,adult,,,-0.0,True
381,ethanol,702.0,ethanol,0.64,V/V,water,DMel,M,1.0,24.0,Y-maze,-0.29,Fuyama1976,,adult,,,-0.0,True
382,ethanol,702.0,ethanol,0.1,V/V,water,DMel,,1.5,5.5,T-maze,-0.26,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
383,ethanol,702.0,ethanol,0.25,V/V,water,DMel,,1.5,5.5,T-maze,-0.5,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-1.0,True
384,ethanol,702.0,ethanol,0.35,V/V,water,DMel,,1.5,5.5,T-maze,-0.43,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-0.0,True
385,ethanol,702.0,ethanol,0.5,V/V,water,DMel,,1.5,5.5,T-maze,-0.6,Soliman1984,Average of right and left is used to calculate preference index,adult,,,-0.0,True
386,ethanol,702.0,ethanol,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.0,Knaden2012,,adult,,,-2.0,True
389,"2,3-butanedione",650.0,"butane-2,3-dione",0.01,V/V,mineral oil,DMel,,,0.0,T-maze,-0.046,Ai2010,,adult,,,-2.0,False
390,"2,3-butanedione",650.0,"butane-2,3-dione",0.1,V/V,,DMel,,5.0,24.0,T-maze,-0.23,Silbering2011,Solvent: water or paraffin oil,adult,,,-1.0,True
391,"2,3-butanedione",650.0,"butane-2,3-dione",0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.6,Knaden2012,,adult,,,-2.0,True
419,octanoic acid,379.0,octanoic acid,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.2,MacWilliam2018,,adult,,,-2.0,True
420,octanoic acid,379.0,octanoic acid,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.19,Knaden2012,,adult,,,-2.0,True
421,2-methylphenol,335.0,2-methylphenol,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,-0.44,Knaden2012,,adult,,,-2.0,True
432,1-butanol,263.0,butan-1-ol,1e-06,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.1,Ayyub1990,,adult,,,-6.0,True
433,1-butanol,263.0,butan-1-ol,1e-05,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.3,Ayyub1990,,adult,,,-5.0,True
